Name,Manufacturer,Serial Number,Category,Purchase Date,Purchase Cost,Location,Company,Order Number,Quantity,Notes,Model Number,Min Qty,Supplier
Honey Lemon Tea,Riffpath,6ce3c549-3808-40fb-9cc8-dd7aae955798,Baby,2025-12-22,3.29,Azogues,Roob LLC,23740,201,,Stylish desk lamp featuring a USB charging port.,7,Twiyo
Peach Mango Smoothie Mix,Brightbean,a7fd4350-39be-468b-ada0-9bd07bc71225,Jewelry,2025-09-18,5.99,Jagabaya Dua,"Cronin, Will and Dooley",32221,248,A blend of peach and mango for a tropical smoothie.,,98,Oyondu
Vegetable Spiralizer,Kwimbee,,Shoes,2026-01-12,19.99,San Martín de los Andes,,2896,140,Create spiraled vegetable noodles easily for healthy meals.,Planters with a self-watering feature for easy care.,286,Jetwire
Children's Educational Workbook,Youopia,21d21919-99fb-4892-8022-a6c7dea4999f,Books,2025-06-25,12.99,Realeza,"Borer, Corkery and Gerlach",,24,Activity workbook for early learning and fun.,Compact and stylish indoor/outdoor fire pit for ambiance.,54,Chatterpoint
Peach Mango Smoothie Mix,Yozio,deedef19-1c8a-49e7-8855-f9ecdf552224,Games,2025-01-25,,Qiqing,Witting Group,,23,A blend of peach and mango for a tropical smoothie.,Spicy and flavorful curry paste for authentic Thai dishes.,86,Vidoo
Compressed Towel Tablets,,bffc1b5a-6c98-469f-815a-d39600845f70,Movies,2025-06-06,12.99,El Potrero,,,48,"Compact towels that expand when wet, ideal for travel.",A timeless wardrobe staple crafted from soft cotton with a perfect fit.,279,Buzzster
Pet Hair Removal Roller,Skinte,4067efd2-0d95-4e31-af1a-8a7941387235,Automotive,2026-01-24,10.99,Barra Mansa,"Moen, Mitchell and Thiel",71035,11,Lint roller designed specifically for removing pet hair from furniture.,Quick-cooking couscous flavored with herbs and spices.,286,Thoughtbridge
Kids' STEM Robotics Kit,Devcast,7c01b4a1-1955-4c2a-859f-dce47e0f01d0,Grocery,2025-10-09,59.99,Yichun,Abbott-Grady,78973,11,,"Lightweight cover-up perfect for the beach, with a breezy design.",290,Yakidoo
Wireless Charging Station,Skimia,,Shoes,2025-02-13,39.99,,,,33,Charge multiple devices with this sleek charging station.,Delicious bacon with a rich applewood smoked flavor.,14,Innotype
Handheld Vacuum,Thoughtmix,25def9f0-91cb-46d4-a406-996f79d8b402,Music,2026-02-07,79.99,,,18078,79,Cordless handheld vacuum for quick cleanups.,Therapeutic weighted blanket for better sleep.,52,Avamba
Pumpkin Waffles,Tazzy,5c57a6c5-d8e1-4859-b637-bd51c86393ea,Books,2025-07-16,4.49,Seattle,,,55,Delicious waffles infused with pumpkin and spices.,,163,Ntags
Walnut Halves,Voolia,afa3db1f-da92-4395-94db-82b4c8c3ddf2,Movies,2025-02-20,8.49,Nova Kakhovka,,24984,80,Fresh walnut halves for baking or snacking.,Colorful and child-friendly gardening tools for little hands.,52,Fatz
Sweet Potato Chips,,fda6cc1c-a097-46f2-ae08-4a739b137da6,Books,2025-06-05,,,Ebert Inc,44705,123,"Deliciously crunchy sweet potato chips, seasoned to perfection.",Marinated chicken thighs with smoked paprika for a smoky flavor.,18,Jabbercube
Dog Collar,Snaptags,44827adb-32c7-4cc8-b79f-cb7eedf1af40,Garden,2025-04-10,15.99,Yihe,"Trantow, Mosciski and Fritsch",62735,145,Adjustable dog collar with personalized tags.,Efficient juicer for fresh fruit and vegetable juices.,180,Kanoodle
Dark Chocolate Almond Butter Cups,Buzzbean,87a39812-68f1-408e-a63f-14dc9cef7ce0,Movies,2026-01-21,4.99,Aragarças,Shields-Reynolds,68320,9,Rich almond butter encased in dark chocolate.,Frozen cauliflower rice blended with mixed vegetables and seasonings.,262,Edgepulse
Buttermilk Pancakes,Kwimbee,,Automotive,2025-08-21,3.99,Vykhino-Zhulebino,Rohan and Sons,38946,37,Fluffy pancakes with buttermilk flavor.,"Tangy green salsa made with tomatillos, perfect for tacos.",,Podcat
Spinach Artichoke Dip,Flashspan,02be0659-fa8c-4ede-9bcf-1ec159791598,Baby,2025-01-26,4.99,Sélestat,"Cronin, Bernier and DuBuque",27765,109,"A delicious creamy dip featuring spinach and artichokes, perfect for parties.","Fresh button mushrooms, great for cooking.",296,Browsecat
Portable Air Compressor,Digitube,f36c28d9-ddb1-4282-ad41-775747d32c72,Grocery,2025-06-08,,Čakovec,,94033,176,Compact air compressor for inflating tires and sports equipment.,,,Jetpulse
Dog Training Clicker,Mynte,d4c9eff6-6d26-4896-bf24-40e4da65a7a0,Kids,2025-08-23,5.99,Mengzhai,Hegmann-Davis,74361,89,Training tool for reinforcing commands and behavior in dogs.,Comfortable camping mattress that inflates automatically.,57,Bluezoom
Cheddar & Bacon Potato Skins,Flashset,4662766f-504e-40d2-9649-e462721e20e0,Games,2025-06-24,7.49,Xêgar,"Dooley, Schultz and Renner",78113,66,Gourmet potato skins loaded with cheddar cheese and bacon.,Soft silicone earbud covers for comfort and fit.,56,Podcat
Folding Exercise Bike,Thoughtblab,,Baby,2025-10-19,199.99,Seixal,,84502,16,Space-saving bike for indoor workouts.,Quote wall art to inspire and motivate.,177,Eare
Cocktail Shaker and Mixing Glass Set,Twimbo,,Automotive,2026-02-09,39.99,Pagelaran,,23580,234,Complete set for mixing cocktails at home.,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",110,Thoughtworks
Chino Shorts,Blogtag,,Home,2025-03-01,34.99,Bom Jesus da Lapa,"Heaney, Lebsack and Hansen",32875,256,Classic chino shorts in a versatile color for summer adventures.,,,Aibox
Pasta Salad Kit,,3e096e54-8a66-49ed-a43c-76bade28ff8c,Jewelry,2025-11-18,,,Rolfson LLC,74876,106,All-in-one kit for making pasta salad easily.,"A mix of fresh raspberries, blueberries, and blackberries.",155,JumpXS
Hiking Boots,Bubblemix,a94e6bd6-0634-474a-a988-23983db13ecf,Sports,2025-05-06,79.99,Alburitel,,56937,288,,Rechargeable water flosser for dental hygiene.,202,Layo
Electric Griddle with Removable Plates,Fivespan,f7cd8f22-cd6c-4b6e-b072-87858a2f03b7,Movies,2025-10-30,59.99,,Berge Inc,57213,8,Non-stick surface for easy cooking and cleaning.,Handheld frother for creating frothed milk for coffee.,248,Meetz
Dark Chocolate Almond Butter Cups,Tagpad,081c3287-f723-4fd2-b5a9-9ee478394eb9,Electronics,2025-08-28,4.99,Tenggina Daya,Kreiger Inc,57742,113,Rich almond butter encased in dark chocolate.,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,27,Photobean
Travel Mug,Flashspan,,Baby,2025-02-17,18.99,,O'Reilly Group,37519,5,Stainless steel travel mug with spill-proof lid.,Compact coffee grinder for fresh ground coffee beans.,223,Rhycero
High-Speed Blender,Ntags,6fb30111-c896-4221-8e75-50e67267cf59,Baby,2025-03-01,99.99,Krasnaya Poyma,Conroy LLC,62942,84,Powerful blender for smoothies and soups.,"Chickpeas served with olives, feta, and hummus, a healthy meal.",103,Fivespan
Fitness Tracker,InnoZ,7ebdc745-68cb-48c3-ae85-5ed6b3326944,Jewelry,2025-07-28,49.99,Foúrnoi,,55126,250,"Track steps, heart rate, and sleep patterns.",Foldable kneeler that doubles as a seat for gardening convenience.,130,Quinu
Home Cleaning Robot,Flipopia,,Home,2025-12-07,249.99,Tiflet,"Dach, Conn and Rau",23279,211,Automated cleaning robot for hassle-free home maintenance.,Filters allergens and pollutants from the air for a healthier home.,90,Aivee
Fruit & Nut Trail Mix,Lajo,d70f446c-44a4-47e5-8d63-7a84bb0d0cff,Clothing,2025-09-05,4.99,Castleknock,Kozey Group,72353,295,"A blend of dried fruits and nuts, great for snacking.",Portable and lightweight umbrella for protection from rain.,38,Livetube
Adjustable Dumbbells,,,Tools,2025-02-12,249.99,,"White, Mosciski and Marks",9742,91,Space-saving adjustable dumbbells for strength training.,Comfortable gaming headset with surround sound.,85,Jaxnation
Vegetable Quinoa Bowl,Photobean,,Electronics,2026-01-02,5.99,Ise,Mueller-Dickinson,97078,144,"A frozen meal featuring quinoa and mixed vegetables, ready to heat and eat.",,284,Tagopia
Mini Air Purifier,Eimbee,f1137246-761d-4209-8e37-4ac503f6df1e,Games,2025-08-13,49.99,Bayabas,,,161,Battery-operated air purifier for small spaces.,Gluten-free bread mix made with almond flour.,114,Npath
Luxury Yoga Mat,Skalith,0df3cb34-4f88-4a8c-af62-7c068a2b8970,Beauty,2025-12-15,39.99,Jagiełła,Ankunding LLC,,271,"High-density, non-slip yoga mat for stability and comfort.",Suction cup bird feeder for close-up bird watching.,213,Minyx
USB Desk Fan,Jabbertype,6ce7323f-34af-4fff-afa0-db101a994ffb,Shoes,2025-06-30,14.99,Nasilava,Zboncak Inc,79576,73,Compact USB fan for personal cooling.,Safety collar with flashing lights for pets during night walks.,72,Avavee
Gardening Tools Set,Jabbertype,9ef130c1-f238-46d3-9354-a23f7d6337f3,Baby,2025-08-25,45,Tromsø,"Beier, Windler and Stiedemann",93317,8,Complete set of gardening tools for outdoor tasks.,Adjustable laptop stand for better ergonomics.,192,Leexo
Ultra-Thin Laptop Sleeve,Feedspan,5c0b957e-0f65-4831-9c4f-c35002973aad,Music,2025-04-23,19.99,,Hettinger and Sons,,63,Sleek and protective sleeve for laptops and tablets.,Wearable device to track fitness activities and heart rate.,70,Pixope
Electric Can Opener,Rooxo,250457b1-c62f-499b-9a12-caad3de1059d,Jewelry,2025-07-15,29.99,Erbil,Herzog-Rutherford,66937,264,Automatic can opener for easy meal prep.,Soft oatmeal cookies with maple and pecans.,87,Jayo
Stuffed Bell Peppers,Realcube,2cbd51aa-f9ba-4d80-9362-7db1964943c7,Outdoors,2025-03-03,5.99,Liquan Chengguanzhen,Lebsack Group,4047,283,Bell peppers stuffed with rice and vegetables,"Sweet and tart dried cranberries, great for salads and baking.",24,Yabox
Pretzel Bites,Wordware,4a59cb50-0161-4b97-9064-84b94e2257c7,Movies,2026-01-27,4.99,,Rogahn Inc,50801,242,,"Crunchy peanuts coated in honey, perfect for snacking.",161,
Bike Repair Tool Kit,Livetube,1a90baae-f997-416f-8c55-4a9f7ab529d3,Music,2026-01-31,29.99,Bileća,,,5,Essential tools for bike maintenance and repair.,Classic wooden building blocks for toddlers.,167,Kwinu
Savory Italian Herbs,Fadeo,7ec86ed5-8b09-44df-9417-059b76aa39ea,Games,2025-12-09,2.99,Sapporo,Carter Inc,64544,93,A blend of dried Italian herbs for cooking.,,22,Meeveo
Strawberry Fruit Spread,Ainyx,,Movies,2025-02-07,3.59,Saint-André-Avellin,Flatley-Heller,85852,51,Natural fruit spread bursting with real strawberry flavor.,Frozen chicken wings with garlic parmesan sauce.,44,InnoZ
Collapsible Camping Cup,Youtags,52c4cd2a-9da1-4ec2-ac58-51840f0a5f2a,Electronics,2025-02-02,9.99,Zevgolateió,"Emard, Kemmer and Balistreri",62516,15,Space-saving cup that folds flat for easy storage.,,,Vinder
Plant-Based Protein Bars,Ntags,f8b8c47e-4734-4301-845a-f352b0f9f015,Home,2025-09-22,,Xinzhuang,Sauer-Funk,30974,80,Nutritious protein bars for on-the-go snacking.,Assorted herbal tea bags for relaxation and wellness.,119,Plajo
Compact Shoe Rack,Yozio,,Health,2025-04-02,,Cilebang Satu,Orn-Runte,43939,77,Space-efficient shoe rack to keep entryways organized.,Savory bacon jerky coated with maple flavoring.,273,Digitube
LED Desk Light,Thoughtstorm,b7de9313-967f-44ae-a15f-1773da1e7783,Clothing,2026-01-23,,Pedaringan,Schmitt-Olson,35227,2,Adjustable LED desk light with brightness settings.,"Fresh button mushrooms, great for cooking.",159,LiveZ
Maple Cinnamon Almonds,Leexo,a61fe329-1441-42fb-9db6-a4302723e21e,Computers,2026-01-11,4.29,Gaowu,Gulgowski LLC,93827,246,,Absorbent training pads for puppies and kittens.,140,Thoughtbeat
Cheesy Broccoli Soup Mix,Meeveo,e0a53a90-60cb-478e-9846-60e97c191ddc,Beauty,2026-01-02,2.99,Bjästa,O'Conner Group,80120,283,Just add water for a hearty cheese and broccoli soup in minutes.,"Rich spaghetti sauce, a perfect pasta sauce.",138,Edgeclub
Coconut Milk Yogurt,Thoughtmix,,Games,2025-08-24,2.99,Usogorsk,,49631,216,Creamy yogurt made with coconut milk,"Hearty chili made with beans and vegetables, a savory meal option.",17,Yata
Basic V-Neck T-Shirt,Blogtag,,Electronics,2025-03-22,19.99,,,,115,A staple v-neck t-shirt that pairs well with anything.,Durable jump rope with built-in counter for workouts.,,Buzzbean
Avocados,Devbug,f8e9d9e7-6b49-46c5-82c9-d98e0774929e,Computers,2025-06-17,,,,79090,255,"Fresh, creamy avocados ideal for salads and guacamole.","A healthy oil extracted from avocados, ideal for frying and salads.",276,Flashset
Puzzle Mat,Thoughtstorm,267ec210-ef7d-47a3-a385-b1eb8284233d,Industrial,2025-03-06,22.99,Lyubokhna,Jerde-Walker,89418,218,Foldable mat for jigsaw puzzle assembly.,,270,Meevee
Olive Oil,Browsecat,3b4c18d7-abb5-4cba-a9e8-b70251370e39,Movies,2026-01-09,7.99,Juxing,Roob-Luettgen,7422,154,,"Nutrient-rich broccoli, easy to add to any meal.",247,Dabtype
Vegetable Pizza Rolls,Photofeed,79436c96-c324-48fe-bb27-c91889b94b3e,Baby,2025-10-29,,,Mertz-Kuvalis,4211,253,"Frozen pizza rolls filled with vegetables and cheese, perfect for snacks.",,297,
Beard Grooming Kit,Devcast,,Tools,2025-01-21,34.99,Pamiers,"Stark, O'Hara and Witting",72974,220,Everything you need for maintaining a healthy beard.,Moisturizing body wash with natural ingredients.,184,Gabcube
Spicy Avocado Salsa,Yoveo,297be013-f69c-4e76-b3f3-9e366028c75c,Grocery,2025-09-21,,Ciudad Bolívar,,95590,139,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.","Expandable caddy for holding books, phones, and snacks while in the bath.",252,Cogidoo
Instant Read Meat Thermometer,Tagopia,c9bf1a68-310b-4eb4-8abc-14cc8fe9f990,Computers,2025-03-10,,,,14817,175,Fast and accurate thermometer for grilling and cooking.,Compact and stylish indoor/outdoor fire pit for ambiance.,232,
Coconut Macaroons,,a1b5ae39-021d-49e3-ac6e-aceab912f51c,Jewelry,2026-02-05,4.99,Oranjestad,Jacobson-Zboncak,15967,179,"Chewy cookies made with coconut, perfect for sweet cravings.",,107,JumpXS
Durable Hiking Boots,Yakijo,dfffedf8-dbde-46c3-844a-2628b4cba780,Tools,2025-05-27,,Obihiro,Casper Group,87641,230,Comfortable and rugged boots designed for hiking.,"A mix of strawberries, blueberries, and raspberries, perfect for smoothies.",276,Oloo
Slim Fit Chinos,Wordtune,af1e85a8-4ab0-4095-87f5-e18063f07a50,Home,2025-08-08,54.99,,Wehner Group,59731,115,Comfortable slim fit chinos for a polished look.,Bright safety vest for outdoor visibility during any activity.,72,
Honey Glazed Carrots,Rhyzio,febf8034-8bfd-4df8-bd5f-9b1b83b958cf,Electronics,2025-12-04,3.49,,"Grady, Stoltenberg and Hills",32905,218,"Sweet and savory carrots glazed in honey, perfect as a side dish.",Crispy cheese snacks that melt in your mouth.,66,Skidoo
Thai Coconut Curry Sauce,Dablist,ee8228ee-a614-4330-bf5c-442ac018bda8,Industrial,2025-04-17,3.99,Huyang,"Gislason, Braun and Nikolaus",4146,163,A rich coconut curry sauce perfect for simmering vegetables or meats.,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.,169,Flipbug
Pet Water Fountain with Filtration,Fatz,8c6ac81e-2710-4b25-8c06-6878acf20a7c,Home,2026-01-22,39.99,Heling,Kreiger Inc,28613,18,"Continuous stream of fresh water for pets, promoting hydration.",Compact vacuum designed specifically for cleaning vehicles.,165,Vipe
Berries Medley,Edgepulse,4f1df762-91aa-4687-b2b7-d81c6afa6eaa,Beauty,2025-08-09,6.99,Birendranagar,"Kihn, Buckridge and Parker",,21,"A mix of fresh raspberries, blueberries, and blackberries.",Lightweight and portable chair for camping or events.,262,Tekfly
Vegetable Fried Rice,Dabjam,b646adbf-dbcc-4c86-a8f7-da8b2ba3f493,Sports,2025-02-13,4.99,Khorlovo,Prosacco and Sons,49753,294,Quick and easy fried rice mixed with vegetables and soy sauce.,Space-saving rack to store and organize spices conveniently.,279,Riffpedia
Fitness Resistance Bands Kit,Zoomzone,67269337-e751-405d-bfc8-25abdaa84f43,Automotive,2025-07-30,,Al Bīrah,"Greenfelder, Marquardt and Oberbrunner",78077,167,,Space-saving collapsible bottle for outdoor activities.,267,Mynte
USB Desk Fan,Tagchat,ba8bb92b-54d3-47eb-a1f6-aba46ca6ba4b,Movies,2025-12-06,14.99,Dingchang,Towne Inc,,237,,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.,285,Aibox
Teriyaki Beef Jerky,Aivee,cdfd55bc-3620-4d3e-9545-81db55c062b2,Jewelry,2025-03-15,5.49,Lae,Corwin-Mosciski,90735,82,Savory and chewy beef jerky with teriyaki flavor.,Complete crafting kit for kids and adults.,286,Brainbox
Chili Beans (canned),Roombo,2195c8fc-90f5-4212-a08b-ebc171066cb7,Kids,2025-03-06,1.69,Ichinoseki,MacGyver and Sons,53301,64,"Canned beans with chili sauce, perfect for chili dishes.","Savory, roasted nuts seasoned with garlic and parmesan.",120,Dynabox
Memory Foam Mattress Pad,Jabbercube,,Beauty,2025-08-21,69.99,Hongxi,Swaniawski-Lindgren,9603,263,Extra layer of comfort for your mattress.,,249,Thoughtstorm
Sustainable Wooden Toys,Bubblebox,04d4c470-4281-4db3-8298-2044d59b7080,Computers,2025-04-27,29.99,Manas,Franecki-Jacobi,81793,37,Eco-friendly toys for learning and imaginative play.,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",269,Vitz
Vegetarian Stir Fry Sauce,Demivee,591ff528-e3bd-4441-b464-0012754eac07,Music,2025-07-23,2.49,Tongqing,Muller Inc,46621,225,Flavorful sauce perfect for stir-frying vegetables and tofu.,"Trendy high-low tee with a relaxed fit, ideal for weekends.",54,Devbug
Key Finder,Agivu,,Automotive,2025-02-12,19.99,Khao Kho,,4832,285,,Savory quiche loaded with spinach and cheese.,217,Oyonder
Adjustable Skipping Rope,Youopia,e6fe85d7-573f-4e18-b2ea-3d8b5fa9e15a,Shoes,2025-08-01,12.99,,,17368,297,Durable skipping rope with adjustable length for workouts.,Stay hydrated with refreshing flavored water.,197,Yodoo
Bamboo Memory Foam Pillow,Voolia,49e0b523-b589-458e-8936-94e89d62d3de,Music,2025-03-28,34.99,Yongning,"Heidenreich, Langosh and Aufderhar",76355,149,Ergonomically designed pillow with breathable bamboo cover.,,68,Jatri
Leather Biker Jacket,Aimbo,eaa4e741-8c92-4dec-bd1a-473474ceb06d,Electronics,2025-08-28,129.99,Piquete,Labadie-Nienow,37954,40,Stylish black leather jacket featuring a zip-up front and multiple pockets.,"Shrimp marinated in a honey garlic sauce, ready to cook.",50,Tagopia
Savory Oatmeal Cups,Kwimbee,f43927cd-eb45-4b64-a3d6-71254349f077,Books,2025-09-03,,Moroto,"Witting, Jaskolski and Weber",358,18,"Savory oatmeal ready to eat, great for breakfast or a snack.",Set of decorative cushion covers for home decor.,296,Skyndu
French Onion Dip,Tavu,ef19eac7-feed-4464-a1de-77f4f4a6cbb4,Sports,2025-08-26,,Melchor de Mencos,Graham LLC,55165,103,"Creamy dip made with real onions and spices, great for chips and veggies.",,22,Topiclounge
High-Top Leather Boots,Skiba,f97dc0cb-161b-4076-9d8d-20a2e68e0146,Garden,2025-06-22,99.99,Taoyuan,"Flatley, Schneider and Gleichner",89308,93,Durable high-top leather boots for the stylish adventurer.,Soft silicone earbud covers for comfort and fit.,193,Roombo
Portable Solar Path Lights,Demizz,0ca1b8f9-b730-4fa6-b4a1-f5bed06843f7,Clothing,2025-08-07,39.99,Dharān Bāzār,Marquardt-Bahringer,82834,293,Eco-friendly solar lights for pathways and gardens.,A blend of dried Italian herbs for cooking.,144,Shuffletag
Spicy Snack Mix,Meevee,eb86e0bd-0a79-48be-8cdd-4e9faf81e14a,Home,2025-06-14,,Dete,"Kris, Jenkins and Turner",9647,195,A crunchy blend of nuts and pretzels with a spicy kick.,Premium olive oil infused with herbs for enhanced flavor.,87,Thoughtworks
Heat-Resistant Silicone Mat,Plajo,7683edff-2871-4e99-b260-fcf0c94255f6,Grocery,2025-01-02,19.99,Tambobamba,"Gislason, Jenkins and Towne",57127,197,Protects surfaces while baking or cooking with hot items.,"Non-stick griddle for pancakes, burgers, and more.",,Teklist
Smartphone Stand,,,Tools,2025-08-11,15.49,Santa Cruz,,76841,70,Adjustable stand for smartphones and tablets.,"Pre-cooked vegetable fried rice, just heat and serve.",124,Zoomcast
Asian Noodle Salad Kit,Mita,74274964-64ae-47f1-ab67-de8b85594b68,Baby,2025-07-25,4.99,Dongzhaogezhuang,,22363,161,A pre-packaged salad kit with noodles and Asian-style dressing.,Made from biodegradable materials for eco-conscious yogis.,141,Tagtune
Floral Summer Dress,Ainyx,1b579bdb-8d1d-406e-84c6-03285e2fda54,Garden,2025-04-01,39.99,Loangmaka,Medhurst-Grimes,28894,106,Light and breezy dress perfect for summer outings with a vibrant floral pattern.,Delicious veggie burger patties for grilling or frying.,241,Blogspan
Wooden Puzzle Game,Twinder,c4b4b9ef-4253-41c2-91cc-678e67a8acff,Clothing,2025-10-20,14.99,Ganja,"Gerhold, Gulgowski and Hane",,11,Classic wooden puzzle game for kids and adults.,Stylish faux leather leggings for a trendy outfit.,93,Shuffledrive
Inflatable Party Cooler,Youspan,8e7dbf2d-8140-4897-adf9-df8f13b5c236,Beauty,2025-04-04,19.99,,Muller-Senger,72359,21,Fun inflatable cooler to keep drinks cold at parties.,Personalized calendar with your favorite photos.,84,Skyvu
Spaghetti Squash,Ntags,09c7ec0f-02cb-49fd-9f29-5e0e1930f3dd,Outdoors,2025-07-28,3.99,Tengger,Kohler and Sons,,202,Low-carb vegetable for pasta alternatives.,"Classic A-line skirt that flatters every figure, perfect for work or play.",121,Topdrive
Salsa Verde,Leexo,4339d21b-2c01-4389-94b7-de6858f71c94,Jewelry,2025-12-25,3.49,,,65028,77,"Tangy green salsa made with tomatillos, perfect for tacos.",Complete set to brew coffee with different methods.,139,Skyba
Almond Flour Pancake Mix,Jabbercube,ce896ecb-9a11-4b01-8be0-f8113c856955,Garden,2026-02-03,5.99,Sucha,Borer-Stark,78739,262,Gluten-free pancake mix made with almond flour.,Stylish fruit basket for kitchen or dining room.,111,Aivee
Electric Rice Cooker with Steamer,Vitz,1d11edfe-6c3c-44e0-8d5e-ec86d9e4ef58,Automotive,2025-09-25,49.99,Enyerhyetykaw,,31443,87,Cook rice and steam vegetables simultaneously for healthy meals.,"Canned pumpkin puree, perfect for pies and soups.",163,Aivee
Organic Chia Seeds,Eayo,,Electronics,2025-12-31,7.99,Jaboatão dos Guararapes,,67352,191,Nutritious chia seeds great for smoothies,"Marinated chicken skewers with lemon and dill flavor, grilled to perfection.",0,Meevee
Chocolate Protein Powder,Gigashots,ff7c9d1f-d67f-4788-9572-e06a1578c07c,Tools,2026-02-15,,,Bahringer LLC,14073,202,Rich chocolate protein powder for smoothies and baking.,Eco-friendly charger with a built-in solar panel for outdoor use.,249,Brainverse
Oversized Denim Shirt,,,Tools,2025-06-30,,Fonte Boa dos Nabos,,96712,140,A trendy oversized denim shirt perfect for layering.,Stylish stand to hold your recipes while cooking.,274,Youspan
Casual Cropped Sweater,Babbleset,ecd9dc70-5036-4054-9465-33eb1091c844,Games,2025-08-25,39.99,Caucete,Stroman and Sons,,262,A trendy cropped sweater perfect for a casual look.,,265,Tanoodle
Puzzle Mat,Ozu,9e87019f-ba09-41b7-8f54-034157decc79,Shoes,2025-07-14,22.99,Kurmuk,"Johnston, Effertz and Lesch",35877,261,Foldable mat for jigsaw puzzle assembly.,A wholesome granola with bits of apple and a touch of cinnamon.,39,Yodo
Adjustable Pet Feeder,Mydeo,6a235bc3-55b2-498c-af01-1c0e04bc771a,Music,2026-01-08,39.99,Santa Rita Aplaya,"Bailey, Lindgren and Glover",27539,197,Convenient feeder that adjusts to your pet's height.,"Smooth soup made from carrots and ginger, great for cold days.",118,Zoomlounge
Luxury Yoga Mat,Yombu,6a6d199a-5dc1-4153-9190-31d4a8713a8f,Books,2025-09-19,,Nadrupe,"Bechtelar, Spencer and Frami",61913,91,,Monitor and interact with your pet remotely with this camera.,,Flipbug
Almond Butter,Yodo,482b0ee3-a91d-418d-a904-1332ef870691,Baby,2025-10-11,6.49,Koubia,"Conroy, Schneider and Blick",75469,131,,Sweet and spicy salsa made with fresh peaches.,43,Wikizz
Interactive Robot Toy,Jazzy,a2192749-854d-48e9-8194-0f0006d06e38,Automotive,2025-11-21,34.99,,,,78,Fun robot that engages kids with games and activities.,Heavy-duty rake with adjustable width for different gardening needs.,66,Skipfire
Ready-to-Eat Chili,Thoughtworks,0e23422f-c834-4374-ba15-5358db047d5c,Industrial,2025-11-22,2.99,Hekou,,,9,"Spicy chili in a can, ready to eat for a filling meal.","Rich in selenium, perfect for snacking or baking.",274,Skibox
Peanut Butter,Youspan,b129ca72-551c-4c42-86dc-d8a5e20a9193,Industrial,2025-05-29,3.79,Kunsan,"Kovacek, Dickinson and Dare",66271,107,,,274,
Laptop Sleeve,,3518a6b0-bc75-4b25-b658-39ff2a32daeb,Shoes,2025-09-05,,Pisão,"Jacobi, Okuneva and Lang",30528,281,Padded laptop sleeve for protection against scratches.,High-density foam roller for muscle recovery.,172,Zoombeat
Bamboo Utensil Holder,Skivee,8b1505ff-09ff-4481-8668-f4121845b26e,Music,2025-07-01,14.99,Ribeira,,12114,80,Stylish holder for organizing cooking utensils.,Double-sided art easel for painting and drawing.,92,Voomm
Fitness Foam Roller,,fd0c1a3d-b3a5-4e94-bf82-87b6ae395120,Beauty,2025-12-23,29.99,San Andrés,Grady and Sons,87160,154,High-density foam roller for muscle recovery.,Everything you need to build a festive gingerbread house.,205,
Tahini,,e04e3fd9-58c9-4b5f-be74-31e8918b2e96,Clothing,2025-01-13,,,Ullrich Inc,72772,147,Creamy tahini made from ground sesame seeds.,Easy meal kit for creamy fettuccine Alfredo.,44,Thoughtbeat
Creamy Ranch Dressing,,7bda51df-d4c8-47d1-9cd5-451a000402ed,Health,2025-07-26,,Santa Eulalia,Roob-Heidenreich,,109,Classic ranch dressing for salads and dipping.,Instant ramen cups with flavor-packed broth.,219,Meeveo
Vegetable Stir Fry Mix,Buzzster,26f77a5d-8730-45a1-a2d2-16d60e90de52,Electronics,2025-10-10,3.29,Tønsberg,"Herzog, Leuschke and Turner",38854,108,A mix of fresh vegetables for quick stir-fries.,Fun decorations for Halloween to set a spooky atmosphere.,293,Kayveo
Desk Lamp with USB Port,Lazz,02fcc602-90bc-4afc-a55b-fea005cd87a0,Automotive,2025-02-09,29.99,,Jacobi LLC,73295,2,Modern desk lamp that features a built-in USB charging port.,Durable apron to keep clothes clean while cooking.,254,
DIY Organic Gardening Kit,Tekfly,6b8472c6-9862-4a3c-b6b6-c3959e1f8342,Industrial,2025-12-17,39.99,,Hahn-Wintheiser,34462,167,Complete kit for starting your own organic garden.,Dimmable LED desk lamp with USB charging port.,192,Wikizz
Beef Stroganoff Mix,Divape,b96bf20e-4978-4b55-8646-ea826faee8d3,Toys,2025-02-23,5.49,Cipatat,"Marquardt, Zieme and Greenfelder",,250,Everything you need to create a hearty beef stroganoff.,A zero-calorie coconut oil spray for cooking and baking.,250,Leenti
Herbal Tea Infuser,,4527bf88-462a-4ad7-badb-c80626b93acf,Home,2025-09-06,9.99,,"Nader, Stiedemann and Reichert",20999,218,Infuser for brewing loose-leaf herbal teas easily.,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert.",105,
Arcade Game Machine,Jabberbean,47cb1aec-eed0-48f3-a94b-59d4ae8e6ab2,Toys,2025-10-17,299.99,Xuedian,Harber and Sons,,88,Retro arcade machine for classic gaming.,"Trendy high-low tee with a relaxed fit, ideal for weekends.",22,
